Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,1
2,4.9,3.0,1.4,0.2,1
3,4.7,3.2,1.3,0.2,1
4,4.6,3.1,1.5,0.2,1
25,4.8,3.4,1.9,0.2,1
26,5.0,3.0,1.6,0.2,1
27,5.0,3.4,1.6,0.4,1
28,5.2,3.5,1.5,0.2,1
44,5.0,3.5,1.6,0.6,1
45,5.1,3.8,1.9,0.4,1
46,4.8,3.0,1.4,0.3,1
47,5.1,3.8,1.6,0.2,1
48,4.6,3.2,1.4,0.2,1
49,5.3,3.7,1.5,0.2,1
50,5.0,3.3,1.4,0.2,1
51,7.0,3.2,4.7,1.4,2
52,6.4,3.2,4.5,1.5,2
53,6.9,3.1,4.9,1.5,2
54,5.5,2.3,4.0,1.3,2
55,6.5,2.8,4.6,1.5,2
56,5.7,2.8,4.5,1.3,2
57,6.3,3.3,4.7,1.6,2
58,4.9,2.4,3.3,1.0,2
59,6.6,2.9,4.6,1.3,2
60,5.2,2.7,3.9,1.4,2
61,5.0,2.0,3.5,1.0,2
62,5.9,3.0,4.2,1.5,2
63,6.0,2.2,4.0,1.0,2
64,6.1,2.9,4.7,1.4,2
65,5.6,2.9,3.6,1.3,2
66,6.7,3.1,4.4,1.4,2
67,5.6,3.0,4.5,1.5,2
68,5.8,2.7,4.1,1.0,2
69,6.2,2.2,4.5,1.5,2
70,5.6,2.5,3.9,1.1,2
71,5.9,3.2,4.8,1.8,2
101,6.3,3.3,6.0,2.5,3
102,5.8,2.7,5.1,1.9,3
103,7.1,3.0,5.9,2.1,3
104,6.3,2.9,5.6,1.8,3
105,6.5,3.0,5.8,2.2,3
106,7.6,3.0,6.6,2.1,3
107,4.9,2.5,4.5,1.7,3
108,7.3,2.9,6.3,1.8,3
109,6.7,2.5,5.8,1.8,3
110,7.2,3.6,6.1,2.5,3
111,6.5,3.2,5.1,2.0,3
112,6.4,2.7,5.3,1.9,3
113,6.8,3.0,5.5,2.1,3